Distance_km,Travel_Time_min,Avg_Speed_kmh,Traffic_Level,Vehicle_Type,Fuel_Type,CO2_Emission_kg
10.3,18.6,33.3,Moderate,SUV,Diesel,2.72
5.4,6.7,48.3,Low,Sedan,Petrol,1
15.4,23.8,38.8,Moderate,SUV,Petrol,4.77
13.4,13.5,59.4,Low,Hatchback,Petrol,2.06
29.1,67.4,25.9,High,Sedan,Diesel,6.41
18.3,39.4,27.9,High,Sedan,Diesel,3.9
4.3,5.3,48.5,Low,Hatchback,Petrol,0.7
5,8.8,34,Moderate,Motorcycle,Petrol,0.53
11.7,40.1,17.5,High,Hatchback,Diesel,2.39
16.8,37.9,26.6,High,Hatchback,Petrol,3.46
3.7,16.1,13.8,Severe,Hatchback,Diesel,0.93
26.9,47.9,33.7,Moderate,Sedan,Petrol,5.95
26,34.7,45,Moderate,Sedan,Petrol,5.19
7,19.7,21.3,High,Hatchback,Petrol,1.69
19.7,77.8,15.2,High,SUV,Diesel,6.25
7.1,8.3,51.5,Low,Sedan,Diesel,1.25
6,6.1,58.7,Low,Motorcycle,Petrol,0.53
16.1,17.1,56.4,Low,Sedan,Diesel,2.75
4.6,4.7,58.9,Low,Motorcycle,Petrol,0.43
2.5,5.1,29.2,High,Hatchback,Petrol,0.5
17.7,20.4,52.1,Low,Sedan,Petrol,3.49
3.7,5.4,40.9,Moderate,Hatchback,Petrol,0.68
14.4,27.2,31.8,Moderate,Hatchback,Petrol,2.68
3.8,4.2,54.5,Low,Hatchback,Diesel,0.55
3.9,12.9,18.2,High,Hatchback,Diesel,0.79
17.8,59.7,17.9,High,Hatchback,Petrol,4.06
17.3,34.8,29.8,High,Hatchback,Petrol,3.57
23.7,27.5,51.7,Low,Sedan,Petrol,4.39
26.6,68.5,23.3,High,Hatchback,Diesel,5.53
58.2,199.5,17.5,High,Sedan,Petrol,15.74
5,39,7.7,Severe,SUV,Petrol,2.34
59.9,88.1,40.8,Moderate,Hatchback,Petrol,11.04
15.4,58.1,15.9,High,Sedan,Petrol,4.35
9.7,12.2,47.8,Low,Sedan,Diesel,1.61
9.1,14,38.9,Moderate,Sedan,Petrol,2.01
19.3,28.5,40.7,Moderate,Hatchback,Petrol,3.46
4.5,16.8,16.1,High,Sedan,Diesel,1.15
3.7,5,44,Moderate,Motorcycle,Petrol,0.38
3.3,7.7,25.6,High,Sedan,Diesel,0.75
8.5,12.8,40,Moderate,Motorcycle,Petrol,0.81
2.9,5.1,34.1,Moderate,Sedan,Diesel,0.55
12.6,17.3,43.6,Moderate,SUV,Petrol,3.58
2,4.9,24.6,High,Hatchback,Diesel,0.4
2.1,2.2,58.2,Low,Motorcycle,Petrol,0.19
28.7,36.7,46.9,Low,Hatchback,Diesel,4.14
33.5,59.6,33.7,Moderate,Hatchback,Diesel,5.63
7,7.1,58.9,Low,Motorcycle,Petrol,0.66
33.2,35.6,56,Low,Hatchback,Diesel,4.79
32.2,46.2,41.8,Moderate,Hatchback,Diesel,5.14
8.5,14.7,34.6,Moderate,SUV,Petrol,2.43
4.6,9.4,29.5,High,Hatchback,Petrol,0.96
48.4,468.4,6.2,Severe,Motorcycle,Petrol,7.64
41.6,48.5,51.5,Low,SUV,Petrol,10.93
13.9,24.7,33.8,Moderate,SUV,Petrol,4.35
17.2,41.1,25.1,High,Hatchback,Petrol,3.67
4.5,10.5,25.8,High,Hatchback,Petrol,0.94
4.4,5.1,51.3,Low,Motorcycle,Petrol,0.4
29.2,45.9,38.2,Moderate,Hatchback,Petrol,5.36
16.5,27,36.6,Moderate,Hatchback,Petrol,3.17
11.7,13.3,52.7,Low,Sedan,Petrol,2.29
16.7,30.4,33,Moderate,Hatchback,Petrol,3.08
21.1,32.1,39.4,Moderate,Hatchback,Diesel,3.41
7.2,7.7,56.3,Low,SUV,Petrol,1.86
9.7,18.9,30.8,Moderate,Hatchback,Diesel,1.56
30,163.6,11,Severe,Motorcycle,Petrol,5.09
17.2,24.3,42.5,Moderate,Sedan,Diesel,3.29
12.6,19.1,39.6,Moderate,SUV,Petrol,3.83
2.6,4.6,34.1,Moderate,Hatchback,Petrol,0.46
7.6,28.5,16,High,Sedan,Petrol,2.06
5.4,30,10.8,Severe,SUV,Diesel,2.21
2,2.9,41.3,Moderate,Motorcycle,Petrol,0.21
8,12.3,39,Moderate,Hatchback,Petrol,1.47
4.7,13.4,21.1,High,Hatchback,Petrol,1.04
10.3,16.1,38.5,Moderate,Hatchback,Petrol,1.83
10.5,19,33.2,Moderate,Hatchback,Diesel,1.68
18.3,35.2,31.2,Moderate,Hatchback,Petrol,3.55
7.2,17.4,24.8,High,SUV,Diesel,2.21
3.2,3.5,55,Low,Sedan,Petrol,0.62
11.7,26.8,26.2,High,Hatchback,Diesel,2.25
2.2,3.3,40.2,Moderate,Motorcycle,Petrol,0.22
10.8,26.6,24.4,High,Hatchback,Diesel,2.25
11.2,52.5,12.8,Severe,Hatchback,Petrol,3.21
13.4,29.5,27.3,High,Hatchback,Diesel,2.5
30.6,44.8,41,Moderate,Motorcycle,Petrol,2.96
28.1,46.2,36.5,Moderate,SUV,Petrol,8.74
21.3,68.3,18.7,High,Sedan,Petrol,5.75
8.8,11,48.2,Low,SUV,Petrol,2.38
12.8,13,59.2,Low,Hatchback,Diesel,1.79
16.9,45.3,22.4,High,SUV,Petrol,6.14
13.1,21.2,37.1,Moderate,Sedan,Petrol,2.95
7.6,13.5,33.8,Moderate,Hatchback,Petrol,1.35
17.6,21.9,48.2,Low,Sedan,Diesel,3.13
12.8,16,47.9,Low,Hatchback,Petrol,1.95
12.7,72.6,10.5,Severe,SUV,Petrol,6.21
18.7,30.3,37,Moderate,Sedan,Petrol,3.92
27.2,77.7,21,High,Hatchback,Petrol,5.98
6.5,8.7,44.9,Moderate,Hatchback,Diesel,1.01
12.3,20.1,36.8,Moderate,Sedan,Diesel,2.53
7,16.1,26.1,High,Motorcycle,Petrol,0.8
7.3,9.2,47.6,Low,Hatchback,Petrol,1.16
12.9,19.1,40.6,Moderate,SUV,Petrol,3.76
31.8,76.6,24.9,High,Motorcycle,Petrol,4.08
16.5,74.4,13.3,Severe,Hatchback,Petrol,4.69
15.7,29.5,31.9,Moderate,SUV,Diesel,4.17
14.9,19.6,45.6,Low,Sedan,Petrol,2.76
9.7,24.7,23.6,High,Motorcycle,Petrol,1.32
12.7,13.5,56.3,Low,Sedan,Diesel,2.25
6.7,17.9,22.4,High,Hatchback,Petrol,1.52
18.6,27.6,40.4,Moderate,Hatchback,Diesel,2.95
14.5,25,34.8,Moderate,Motorcycle,Petrol,1.49
19.9,51.7,23.1,High,Sedan,Petrol,5.36
16.3,54,18.1,High,Sedan,Diesel,3.96
11.2,60.5,11.1,Severe,Hatchback,Petrol,3.26
10.9,46.4,14.1,Severe,Sedan,Petrol,3.88
17.2,30.3,34.1,Moderate,SUV,Diesel,4.26
13.8,82,10.1,Severe,Motorcycle,Petrol,2.33
8.3,11.3,44,Moderate,Sedan,Diesel,1.52
6.7,40.6,9.9,Severe,Hatchback,Petrol,1.91
15.4,26.6,34.8,Moderate,Hatchback,Diesel,2.51
8.2,8.8,56.2,Low,SUV,Diesel,1.78
18.2,109.2,10,Severe,Hatchback,Petrol,5.33
33.1,52.4,37.9,Moderate,Sedan,Diesel,6.44
11.5,15.5,44.5,Moderate,Hatchback,Diesel,1.8
32.8,95.1,20.7,High,Hatchback,Diesel,6.77
20.5,22.6,54.5,Low,Motorcycle,Petrol,1.94
14.3,15.7,54.5,Low,Motorcycle,Petrol,1.28
19,20,56.9,Low,Hatchback,Petrol,2.93
15.7,53.8,17.5,High,Hatchback,Diesel,3.2
9.3,10.8,51.9,Low,Hatchback,Petrol,1.41
33.5,115.5,17.4,High,Sedan,Petrol,9.23
14.2,20,42.7,Moderate,Hatchback,Petrol,2.5
6.6,8.8,44.9,Moderate,Hatchback,Diesel,1.03
6.5,14.9,26.2,High,Hatchback,Petrol,1.36
24.3,60.5,24.1,High,Hatchback,Petrol,5.66
17.2,37.4,27.6,High,Sedan,Diesel,3.89
5.5,8,41,Moderate,Hatchback,Petrol,0.99
3.1,4.2,44.6,Moderate,Sedan,Diesel,0.6
8.6,12.3,42.1,Moderate,SUV,Petrol,2.36
38.5,169.9,13.6,Severe,SUV,Diesel,16.07
25.5,100.7,15.2,High,Sedan,Petrol,7.09
15.8,32.6,29.1,High,Hatchback,Petrol,3.16
28.4,236.7,7.2,Severe,Hatchback,Diesel,7.5
5.3,5.4,59.2,Low,Hatchback,Petrol,0.81
22,32.9,40.1,Moderate,SUV,Diesel,5.28
11.5,21.9,31.5,Moderate,Sedan,Petrol,2.64
5,6.8,44.3,Moderate,Motorcycle,Petrol,0.48
15.4,107.4,8.6,Severe,Hatchback,Petrol,4.3
